yearterm,subject,crse,sec,onlineFCQ,bd_continuing_education,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,courseOverall_old,courseOverall_SD_old,instrOverall_old,instrOverall_SD_old,r_Fair,r_Access,workload,r_Divstu,r_Diviss,r_Presnt,r_Explan,r_Assign,r_Motiv,r_Learn,r_Complx,campus,college,aSdiv,level,fcqdept,instructor_group,i_Num
20137,PHIL,1020,001,,,BRINDELL, SHERALEE,34,21,1,4.3330078125,1.1103515625,5.046875,1.0234375,4-6,3.42822265625,4.380859375,5.1904296875,4.5712890625,4.380859375,5.7998046875,INTRO/WEST PHIL: MODERN,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1020,002,,,WAIDLER, KATHARYN,34,20,1,3.69970703125,1.21826171875,4.1494140625,1.42431640625,7-9,3.5,3.75,5.099609375,3.849609375,3.89990234375,5.849609375,INTRO/WEST PHIL: MODERN,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1020,003,,,WAIDLER, KATHARYN,39,23,1,3.6953125,1.5205078125,4.173828125,1.52685546875,7-9,4.3037109375,3.9560546875,4.564453125,4.6953125,4.0869140625,5.8251953125,INTRO/WEST PHIL: MODERN,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1100,002,,,RENNINGER, REBECCA,35,24,1,4.375,1.055419921875,4.7080078125,1.16015625,4-6,4.166015625,4.375,5.216796875,3.5830078125,4.416015625,5.625,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1100,003,,,COLVIN, MARIA,35,30,1,4.2998046875,1.263427734375,5,1.203369140625,4-6,3.66650390625,4.533203125,5.3330078125,3.89990234375,4.3662109375,5.9658203125,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1100,004,,,GRONHOLZ, SHANE,35,28,1,4.892578125,0.9940185546875,5.5,0.7452392578125,4-6,3.7138671875,4.962890625,5.142578125,3.85693359375,4.642578125,5.78515625,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1100,005,,,RENNINGER, REBECCA,35,27,1,4.517578125,1.220458984375,4.77734375,1.339599609375,4-6,4.2587890625,4.4072265625,5.2216796875,3.70361328125,4.4814453125,5.73046875,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1100,006,OL,,TOOLEY, MICHAEL,36,19,1,3.841796875,1.462890625,3.841796875,1.42431640625,4-6,3.4208984375,3.21044921875,4.7890625,4.578125,3.3154296875,5.841796875,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1100,007,,,RENNINGER, REBECCA,35,29,1,4.275390625,1.19189453125,4.5859375,1.427001953125,4-6,3.9306640625,4.1376953125,5.275390625,3.62060546875,4.275390625,5.7236328125,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1100,008,,,GRONHOLZ, SHANE,35,26,1,4.69140625,1.010498046875,5.3837890625,0.63720703125,4-6,3.5380859375,4.8076171875,5.19140625,4.0380859375,4.345703125,5.73046875,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1100,009,,,COLVIN, MARIA,39,29,1,4.2060546875,1.319580078125,4.689453125,1.1982421875,4-6,3.72412109375,4.068359375,4.79296875,4.1025390625,4.4482421875,5.896484375,ETHICS,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,001,,,LOWE, DANIEL,29,17,1,4.8818359375,1.053466796875,5.3525390625,0.931396484375,4-6,3.64697265625,4.705078125,5.8232421875,4.3525390625,4.8818359375,6,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,002,,,SAENZ, NOEL,35,27,1,4.5546875,1.367919921875,4.888671875,1.339599609375,4-6,3.51806640625,4.591796875,5,4.3330078125,4.3330078125,5.5546875,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,004,,,SAENZ, NOEL,35,32,1,4.9375,0.91357421875,5.5625,0.618896484375,4-6,3.78125,4.90625,5.28125,4.3125,4.9375,5.8125,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,005,,,ROHRS, BENJAMIN,34,25,1,4.439453125,1.2607421875,5.1591796875,1.178955078125,4-6,3.7197265625,4.599609375,5.3994140625,4.2392578125,4.3994140625,5.7080078125,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,006,,,SPELMAN, JONATHAN,35,27,1,3.888671875,1.449951171875,4.0732421875,1.542236328125,4-6,3.77734375,3.73046875,4.703125,3.70361328125,4.1845703125,5.5546875,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,007,,,SPELMAN, JONATHAN,35,28,1,3.392578125,1.2861328125,3.92578125,1.140869140625,4-6,3.392578125,3.7138671875,5,3.7138671875,3.7138671875,5.28515625,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,008,,,ROHRS, BENJAMIN,35,27,1,3.92578125,1.140869140625,4.2958984375,1.202880859375,4-6,3.3701171875,3.8515625,4.962890625,3.77734375,3.8515625,5.814453125,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,009,,,LOWE, DANIEL,25,20,1,4.19921875,1.239501953125,5,0.794677734375,4-6,3.14990234375,4.2998046875,5.349609375,4.25,4.3994140625,5.94921875,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1200,100,,,WINGO, AJUME,147,107,1,4.4013671875,1.2578125,4.8583984375,1.1162109375,4-6,3.71923828125,4.4296875,4.3544921875,3.68212890625,4.205078125,5.775390625,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1200,101,,,NIEBLAS, ERICA,37,26,1,4.076171875,1.43994140625,4.8837890625,1.451171875,4-6,3.9228515625,4.23046875,5.345703125,3.76904296875,3.96142578125,5.8076171875,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1200,102,,,HALL, JAMES,37,34,1,4.6171875,1.073486328125,5.529296875,0.563232421875,4-6,3.88232421875,4.8525390625,5.4697265625,3.73486328125,4.2646484375,5.7939453125,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1200,104,,,HALL, JAMES,36,22,1,4.9541015625,0.8984375,5.544921875,0.595703125,4-6,4.2724609375,5.1357421875,5.7265625,3.7724609375,4.7265625,5.9541015625,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1200,105,,,NIEBLAS, ERICA,37,15,1,4,1.06884765625,4.7998046875,0.9410400390625,0-3,3.7998046875,4.1328125,4.9326171875,3.73291015625,3.93310546875,5.7998046875,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1200,880,OL,,ZERELLA, MICHAEL,15,13,1,4.845703125,0.800537109375,5.23046875,0.7249755859375,4-6,4.3837890625,4.615234375,5.3076171875,4.076171875,4.615234375,5.845703125,PHILOSOPHY AND SOCIETY,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,OTH,1
20137,PHIL,1400,100,,,CLELAND, CAROL,86,30,1,4.56640625,0.9351806640625,4.666015625,1.061279296875,4-6,4,4.69921875,4.5859375,5.06640625,4.7666015625,5.6328125,PHILOSOPHY AND SCIENCES,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TTT,1
20137,PHIL,1400,101,,,KULTGEN, BENJAMIN,30,14,1,4.7138671875,0.7261962890625,5.3837890625,0.650390625,4-6,3.85693359375,5,5.5712890625,5.3564453125,4.927734375,6,PHILOSOPHY AND SCIENCES,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1400,102,OL,,BYRD, NICHOLAS,10,1,1,6,,6,,0-3,3,5,6,5,6,6,PHILOSOPHY AND SCIENCES,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1400,107,,,KULTGEN, BENJAMIN,33,27,1,3.8515625,1.166748046875,5.1845703125,0.92138671875,4-6,3.4072265625,4.92578125,5.2216796875,5.0732421875,4.4072265625,5.888671875,PHILOSOPHY AND SCIENCES,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
20137,PHIL,1400,108,OL,,BYRD, NICHOLAS,13,5,1,4.7998046875,1.3037109375,5.7998046875,0.44720458984375,4-6,4.3994140625,5.3994140625,5.599609375,4.7998046875,4.7998046875,6,PHILOSOPHY AND SCIENCES,,,,,,,,,,,,,,,,BD,AS,AH,LD,PHIL,TA,1
