yearterm,subject,crse,sec,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,campus,college,instructor_group
20121,CSCI,3155,14,BLACKSHEAR,SAMUEL,27,9,100%,5,1.2,5.1,1.3,7-9,4.2,4.9,5.6,5.2,4.9,6,PRINCIP OF PROG LANGS,BD,EN,TA
20121,CSCI,3155,15,TSAI,YI-FAN,22,7,100%,2.6,1.7,3.4,1.8,10-12,4.1,3,4.3,5.3,2.9,5.9,PRINCIP OF PROG LANGS,BD,EN,TA
20121,CSCI,3434,1,GOLDBERG,DEBRA,25,15,100%,5,1.1,5.2,0.9,7-9,3.9,4.7,5.6,5,5.1,6,THEORY OF COMPUTATION,BD,EN,TTT
20121,CSCI,3656,1,JESSUP,ELIZABETH,45,30,100%,3.9,1,4.1,1.4,7-9,3.9,3.8,4.8,4.6,4.2,5.8,NUMERICAL COMP 1,BD,EN,TTT
20121,CSCI,3753,10,HAN,RICHARD,76,39,100%,5.4,0.9,5.6,0.7,10-12,4.5,5.2,5.4,5.1,5.3,6,OPERATING SYSTEMS,BD,EN,TTT
20121,CSCI,3753,11,SAYLER,ANDREW,26,12,100%,5.9,0.3,6,0,10-12,5.2,6,5.8,5.3,5.8,6,OPERATING SYSTEMS,BD,EN,TA
20121,CSCI,3753,12,SAYLER,ANDREW,27,19,100%,5.5,0.6,5.6,0.6,10-12,5.1,5.3,5.8,5.4,5.6,5.9,OPERATING SYSTEMS,BD,EN,TA
20121,CSCI,3753,13,AHN,JUNHO,23,4,100%,5.8,0.5,4,2.4,16+,4.5,2.5,3.8,5.5,4.8,5.5,OPERATING SYSTEMS,BD,EN,TA
20121,CSCI,4113,1,ELATOV,KARIM,85,43,100%,4.7,1.4,5,1.3,4-6,4.8,4.7,5.5,4,4.3,4.9,UNIX SYSTEM ADMIN,BD,EN,OTH
20121,CSCI,4123,11,SANTOS,JOSE,13,1,100%,2,,2,,16+,2,3,4,4,5,6,NETWORK LAB,BD,EN,OTH
20121,CSCI,4318,10,KESSEL,ANDREW,46,28,100%,4.1,1.1,4.1,1.3,10-12,4.5,3.5,4.6,4.4,4.4,5.8,SOFTWARE ENG PROJECT 2,BD,EN,OTH
20121,CSCI,4318,11,KANAKIA,ANSHUL,46,19,95%,3.8,1.2,4.6,1.5,10-12,4.5,3.9,4.6,4.2,4.3,5.6,SOFTWARE ENG PROJECT 2,BD,EN,TA
20121,CSCI,4318,11,DI NATALE,FRANCESCO,46,19,100%,4.6,1.1,4.9,1.2,10-12,4.9,4.7,4.9,4.7,4.7,5.7,SOFTWARE ENG PROJECT 2,BD,EN,TA
20121,CSCI,4446,1,BRADLEY,ELIZABETH,29,27,96%,5.6,0.6,5.7,0.6,7-9,4.7,5.6,5.4,5.2,5.4,6,CHAOTIC DYNAMICS,BD,EN,TTT
20121,CSCI,4576,10,HAUSER,THOMAS,24,17,100%,4.5,1.2,4.5,1.3,10-12,4.8,4.5,4.8,5.1,4.9,5.8,HIGH-PERFORMANCE SCI COM,BD,EN,OTH
20121,CSCI,4576,11,LUNACEK,MONTE,24,17,100%,4.9,1.1,5.4,0.7,10-12,4.7,5.4,5.4,5.1,5.2,5.8,HIGH-PERFORMANCE SCI COM,BD,EN,OTH
