yearterm,subject,crse,sec,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,campus,college,instructor_group
20117,CSCI,6000,1,BRADLEY,ELIZABETH,16,14,100%,5.3,0.6,5.8,0.4,0-3,4.5,5.6,5.8,3.3,4.3,5.9,INTRO CSCI PHD PROGRAM,BD,EN,TTT
20117,CSCI,6302,1,PELLOM,BRYAN,18,14,100%,4.6,1.5,4.6,1.3,10-12,4.6,4.4,4.6,5.3,4.6,5.8,SPEECH RECOGNITION,BD,EN,OTH
20117,CSCI,7000,2,REISHUS,DUSTIN,10,8,100%,5.1,0.6,5.8,0.5,7-9,5.1,5.5,5.6,4.6,5.1,5.8,CURRENT TPCS IN COMPUTER,BD,EN,OTH
20117,CSCI,7143,1,HAN,RICHARD,5,5,100%,5.2,0.8,5.2,0.8,7-9,5,5.2,5.6,5,4.8,6,TPCS-COMPUTER SYSTEMS,BD,EN,TTT
20117,CSCI,7412,1,MOZER,MICHAEL,10,7,100%,5.1,0.7,5.1,0.4,7-9,5.1,4.7,5.1,4.9,5,5.6,COG SCI RSRCH PRAC 1,BD,EN,TTT
20117,CSCI,7422,1,MOZER,MICHAEL,2,1,100%,5,,6,,4-6,6,6,6,4,4,6,COG SCI RSRCH PRAC 2,BD,EN,TTT
20117,CSCI,7772,1,MOZER,MICHAEL,24,4,100%,5.3,0.5,5.5,0.6,7-9,5,5.8,5.3,4.5,5.3,5.7,TPCS-COGNITIVE SCIENCE,BD,EN,TTT
20114,CSCI,1240,200,EISENBERG,MICHAEL,17,6,100%,3.7,1.8,5,1.3,4-6,3.3,4.2,5,3.7,3.3,6,COMPUTATIONAL WORLD,BD,EN,TTT
20114,CSCI,1300,100,LAMARCHE,JEFFREY,40,32,100%,4.8,1,4.9,1,16+,4.9,4.5,5.3,5.1,5.2,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20114,CSCI,2270,200,LAMARCHE,JEFFREY,56,38,100%,4.3,1.1,4.5,1.1,16+,5.1,4.1,5.3,4.9,4.9,6,COMP SCI II: DATA STRUCT,BD,EN,OTH
20114,CSCI,4229,100,SCHREUDER,WILLEM,31,23,100%,5.3,1.1,5.5,0.8,13-15,4.7,5.2,5.4,5,5.3,5.7,COMPUTER GRAPHICS,BD,EN,OTH
20114,CSCI,4809,100,KING,ROGER,30,17,100%,4.9,0.8,4.9,0.8,10-12,5.1,4.9,5.7,4.5,5.1,5.9,COMPUTER ANIMATION,BD,EN,TTT
20114,CSCI,4830,200,MCCRICKARD,SCOTT,16,14,100%,4,1.4,4.3,1.3,16+,5.3,4.3,4.6,4.8,4.6,5.8,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20111,CSCI,1240,1,EISENBERG,MICHAEL,33,26,100%,4.8,1.3,5.4,0.9,4-6,4.3,5,5,4.1,4.3,5.9,COMPUTATIONAL WORLD,BD,EN,TTT
20111,CSCI,1300,100,MAIN,MICHAEL,203,127,100%,5,1.2,5.5,0.9,7-9,4.4,5.3,5.4,4.7,5.1,5.9,COMP SCI I: PROGRAMMING,BD,EN,TTT
20111,CSCI,1300,102,BROWN,ALLISON,24,14,100%,5.1,0.8,5.5,0.7,7-9,5,5.3,5.6,4.9,5.3,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,103,BROWN,ALLISON,25,15,100%,5.1,0.6,5.7,0.6,10-12,4.5,4.9,5.8,4.7,5.5,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,104,HARIDAS MARUTHUR,SR,26,13,100%,4.5,0.7,4.2,1.3,7-9,4.3,3.9,4.6,4.4,4.8,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,105,AHN,JUNHO,25,11,100%,4.3,1.1,4.3,1,7-9,4.3,4.2,4.6,4.8,4.9,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,106,AHN,JUNHO,20,7,100%,4.4,1.3,4.4,1,7-9,4,3.6,4.7,4.6,5,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,107,SHEN,ALAN,21,5,100%,4,1.9,4,1.4,4-6,4,3.6,4.2,4.2,4,5.2,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,108,DIETRICH,CHARLES,21,6,100%,4.8,0.8,4.7,1,4-6,4.2,3.7,4.7,5,5.2,5.7,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,109,DIETRICH,CHARLES,22,9,100%,5,1,5.1,1.1,7-9,4.7,4.4,5.2,4.6,5,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,1300,110,DIETRICH,CHARLES,19,3,100%,4.7,0.6,6,0,4-6,4.3,2.7,5.3,4.3,4.3,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20111,CSCI,2270,10,MISHRA,SHIVAKANT,96,58,100%,3.4,1.3,3.1,1.4,10-12,4.7,2.8,3.7,4.9,4.1,5.7,COMP SCI II: DATA STRUCT,BD,EN,TTT
20111,CSCI,2270,11,BEACH,AARON,20,16,100%,4.7,0.9,5.1,0.9,7-9,4.8,5,5,5.2,4.9,5.9,COMP SCI II: DATA STRUCT,BD,EN,TA
20111,CSCI,2270,12,GONZALES,HAROLD,18,14,100%,3.7,0.9,4.3,1,7-9,4,3.7,4.1,4.6,4.1,5.8,COMP SCI II: DATA STRUCT,BD,EN,TA
20111,CSCI,2270,13,GONZALES,HAROLD,19,14,100%,4.1,0.9,4.9,0.8,7-9,4.6,4.5,4.2,5.2,4.5,5.9,COMP SCI II: DATA STRUCT,BD,EN,TA
20111,CSCI,2270,14,BEACH,AARON,20,16,100%,4.1,1.2,4.8,0.8,7-9,4.5,4.6,4.4,4.8,4.4,5.8,COMP SCI II: DATA STRUCT,BD,EN,TA
20111,CSCI,2270,15,GONZALES,HAROLD,19,16,100%,4.1,1.2,4.5,1.3,7-9,5,4,4.7,5.1,4.5,5.8,COMP SCI II: DATA STRUCT,BD,EN,TA
20111,CSCI,2824,1,SANKARANARAYANAN,SR,53,27,100%,5.2,0.8,5.6,0.7,4-6,3.6,5.3,5.7,4.4,4.9,5.9,DISCRETE STRUCTURES,BD,EN,TTT
20111,CSCI,3104,20,BLACK,JOHN,89,61,100%,5.1,0.9,5.7,0.6,7-9,4.4,5.3,5,5.5,5.3,5.9,ALGORITHMS,BD,EN,TTT
20111,CSCI,3104,21,MAHDIAN,ALIREZA,33,19,100%,4.6,1.2,3.8,1.5,7-9,4.5,3.5,4.3,5.5,4.7,5.2,ALGORITHMS,BD,EN,TA
20111,CSCI,3104,22,MAHDIAN,ALIREZA,28,10,100%,4.2,1.5,3.8,1.6,4-6,4.5,3.6,4,5.1,4.1,5.6,ALGORITHMS,BD,EN,TA
20111,CSCI,3104,23,MAHDIAN,ALIREZA,28,17,100%,4.7,1.4,4.2,1.6,7-9,4.9,3.6,4.9,5.1,4.8,6,ALGORITHMS,BD,EN,TA
20111,CSCI,3155,810,MAIN,MICHAEL,47,32,100%,4.8,1.1,5.6,1.1,10-12,4.4,5.3,5.7,5,5,5.9,PRINCIP OF PROG LANGS,BD,EN,TTT
20111,CSCI,3155,811,DUPLYAKIN,DMITRY,29,20,100%,5,0.9,5.6,0.7,10-12,4.4,5.3,5.6,5.3,5.2,5.9,PRINCIP OF PROG LANGS,BD,EN,TA
20111,CSCI,3155,812,DUPLYAKIN,DMITRY,15,12,100%,4.6,1,5.4,1,7-9,3.8,5.1,5.3,4.9,4.9,5.8,PRINCIP OF PROG LANGS,BD,EN,TA
20111,CSCI,3155,813,DUPLYAKIN,DMITRY,17,11,100%,5.2,1,5.4,1.4,10-12,4.5,5.2,5.6,4.5,4.8,5.9,PRINCIP OF PROG LANGS,BD,EN,TA
20111,CSCI,3155,820,MAIN,MICHAEL,41,24,100%,5.5,0.6,5.8,0.5,10-12,4.8,5.6,5.7,5.3,5.6,6,PRINCIP OF PROG LANGS,BD,EN,TTT
20111,CSCI,3155,822,DUPLYAKIN,DMITRY,14,8,100%,5.5,0.8,5.8,0.7,10-12,4.8,5.4,5.4,5.1,5.4,6,PRINCIP OF PROG LANGS,BD,EN,TA
20111,CSCI,3155,823,DUPLYAKIN,DMITRY,13,0,,,,,,,,,,,,,PRINCIP OF PROG LANGS,BD,EN,TA
20111,CSCI,3434,1,GOLDBERG,DEBRA,12,9,100%,5.1,1.3,5.2,0.8,4-6,4.2,4.6,5.9,4.6,4.8,6,THEORY OF COMPUTATION,BD,EN,TTT
20111,CSCI,3656,1,BYRD,RICHARD,29,21,100%,4,1.2,4.2,1.2,4-6,3.8,3.7,5.1,4.1,4.1,5.8,NUMERICAL COMP 1,BD,EN,TTT
20111,CSCI,3753,10,HAN,RICHARD,66,45,100%,4.6,1.1,4.9,1.2,10-12,4.2,4.3,4.8,5,4.8,5.9,OPERATING SYSTEMS,BD,EN,TTT
20111,CSCI,3753,11,MERRITT,SEARS,23,11,100%,4.8,0.9,5.6,0.5,7-9,4.4,4.9,5.3,5,4.7,5.9,OPERATING SYSTEMS,BD,EN,TA
20111,CSCI,3753,12,CHEN,WEI-TE,20,12,100%,3.5,1.5,3.7,1.6,10-12,3.6,3.3,4.3,4.8,4.3,5.9,OPERATING SYSTEMS,BD,EN,TA
20111,CSCI,3753,13,MERRITT,SEARS,23,13,100%,5,1,5.4,0.8,7-9,4.8,5.1,5.3,5.3,5.4,6,OPERATING SYSTEMS,BD,EN,TA
20111,CSCI,4113,1,ELATOV,KARIM,75,48,100%,4.5,1.2,4.6,1.2,4-6,4.5,4.5,5.2,3.9,4.4,4.9,UNIX SYSTEM ADMIN,BD,EN,OTH
20111,CSCI,4123,10,SANTOS,JOSE,16,12,100%,5.8,0.5,5.4,0.5,13-15,5.3,5.4,5.2,5.8,5.8,6,NETWORK LAB,BD,EN,OTH
20111,CSCI,4133,10,MACKEY,DAVID,15,0,,,,,,,,,,,,,SECURITY LAB,BD,EN,OTH
20111,CSCI,4143,1,RYAN,PATRICK,52,9,100%,4.7,1.1,4.4,1.1,4-6,3.8,4.7,4.7,4.4,4.8,5.4,PRINCPLES OF TELECOMM PO,BD,EN,OTH
20111,CSCI,4312,1,SIEK,KATIE,16,14,100%,4.6,0.9,5.1,0.9,7-9,4.4,5,5.4,3.9,4.5,5.9,HEALTH INFORMATICS,BD,EN,TTT
20111,CSCI,4318,10,SANDERS,BRUCE,40,38,100%,4.9,1,5.4,0.8,13-15,4.9,4.9,5.8,5.3,5.3,5.9,SOFTWARE ENG PROJECT 2,BD,EN,OTH
20111,CSCI,4318,11,KESSEL,ANDREW,40,34,100%,5.1,0.9,5.5,0.7,13-15,5.1,5.1,5.7,5.1,5.2,5.9,SOFTWARE ENG PROJECT 2,BD,EN,TA
20111,CSCI,4446,1,BRADLEY,ELIZABETH,24,22,100%,5.5,0.6,5.9,0.4,7-9,4,5.7,5.4,5,5.2,6,CHAOTIC DYNAMICS,BD,EN,TTT
20111,CSCI,4448,1,ANDERSON,KENNETH,94,56,100%,4.7,1.2,5,1,7-9,4.7,4.8,5.1,4.3,4.4,5.8,OBJECT-ORIENTED ANLYSIS/,BD,EN,TTT
20111,CSCI,4576,10,JESSUP,ELIZABETH,19,14,100%,4.6,1.1,5,0.8,10-12,4.8,4.6,5.2,4.6,4.7,5.9,HIGH-PERFORMANCE SCI COM,BD,EN,TTT
20111,CSCI,4576,11,WOITASZEK,MATTHEW,19,16,100%,4.8,1.1,5.4,0.7,10-12,4.4,4.9,5.7,4.7,4.6,6,HIGH-PERFORMANCE SCI COM,BD,EN,OTH
20111,CSCI,4753,2,GRUNWALD,DIRK,23,14,100%,4.4,1.3,4.9,1.3,7-9,3.9,4.7,4.1,4.7,4.6,6,COMP PERFORM MODELING,BD,EN,TTT
20111,CSCI,4810,1,SIEK,KATIE,7,3,100%,4.7,0.6,5.7,0.6,0-3,4.7,5,5.3,3,4.3,6,SEMINAR IN CB & HI,BD,EN,TTT
20111,CSCI,4830,1,CORRELL,NIKOLAUS,10,9,100%,5.3,0.5,5.7,0.5,7-9,5.2,5.8,5.9,5,5,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20111,CSCI,4830,2,KING,ROGER,9,4,100%,5.8,0.5,5.8,0.5,10-12,6,5.8,5.3,4.5,5.8,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20111,CSCI,4830,3,LV,QIN,19,16,100%,4.6,1,4.9,1.1,7-9,4.9,4.6,5.3,4.7,4.6,5.7,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20111,CSCI,4830,4,SCHREUDER,WILLEM,11,6,100%,5.5,0.5,5.5,0.5,7-9,5.5,5.5,5,4.7,5.5,5.8,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20111,CSCI,4830,6,EISENBERG,MICHAEL,13,12,100%,5.5,0.7,5.7,0.7,7-9,4.8,5.6,5.8,4.7,5,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20111,CSCI,4830,7,LEWIS,CLAYTON,20,10,100%,5,0.8,5.6,0.5,7-9,4.6,5.3,5.5,4.3,4.4,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20111,CSCI,4830,7,REPENNING,ALEX,20,10,100%,4.9,1.1,5,1.1,7-9,4.4,4.7,5,4.3,4.2,6,SPEC TPCS IN COMPUTER SC,BD,EN,OTH
20111,CSCI,4830,9,EHRENFEUCHT,ANDRZEJ,6,4,100%,5,0.8,5.5,0.6,7-9,5.3,5.8,5.5,4.8,5,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20111,CSCI,4830,10,BLACK,JOHN,29,22,100%,5.9,0.4,5.8,0.5,10-12,5.7,6,5.8,5.4,5.8,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20111,CSCI,5454,1,CLAUSET,AARON,22,20,100%,4.8,1.2,4.9,1,10-12,4.5,4.8,5.2,5.4,4.9,5.8,DESIGN ANLYS OF ALGOS,BD,EN,TTT
20111,CSCI,5673,2,HAN,RICHARD,26,18,100%,5.4,0.7,5.3,0.8,10-12,5.3,5.3,5,5,5.2,5.9,DISTRIBUTED SYSTEMS,BD,EN,TTT
20111,CSCI,5817,1,KING,ROGER,16,12,100%,4.3,1.7,4.7,1.7,7-9,5,4.7,4.5,4.3,4.3,5.8,DATABASE SYSTEMS,BD,EN,TTT
20111,CSCI,5832,2,MARTIN,JAMES,35,27,96%,5.1,0.9,5.5,0.8,7-9,4.8,5.1,4.8,5,5.1,5.8,NATURAL LANG PROCESSING,BD,EN,TTT
20111,CSCI,5919,1,PALEN,LEYSIA,17,16,100%,5.4,0.7,5.7,0.6,10-12,4.6,5.8,5.2,4.9,5.6,5.9,HUMAN-COMPUTER INTERACTI,BD,EN,TTT
20111,CSCI,6402,1,EISENBERG,MICHAEL,23,18,100%,5,0.6,5.3,1,7-9,4.6,5.5,4.5,4.5,5.1,5.8,METHODS IN COGNITIVE SCI,BD,EN,TTT
20111,CSCI,6402,1,KIM,ALBERT,23,18,100%,4.9,0.5,5,1.1,7-9,4.7,4.9,4.4,4.4,5.1,5.8,METHODS IN COGNITIVE SCI,BD,EN,TTT
20111,CSCI,7123,1,MISHRA,SHIVAKANT,8,6,100%,5.2,0.8,5.3,0.8,10-12,4.7,5.2,5,5.5,5.2,5.2,TOPICS IN OPERATING SYST,BD,EN,TTT
20111,CSCI,7135,803,CHANG,BOR-YUH,2,2,100%,4.5,2.1,4.5,2.1,7-9,5.5,5,4.5,6,4,6,TPCS IN PROGRAMMING LANG,BD,EN,TTT
20111,CSCI,7154,1,SANKARANARAYANAN,SR,7,4,100%,4.5,1.3,5.3,0.5,4-6,3.8,5,5.5,5.5,4.3,6,TOPIC IN THEORY OF COMPU,BD,EN,TTT
20107,CSCI,1000,1,LEWIS,CLAYTON,95,50,100%,3.7,1.3,5,1.2,0-3,3.6,4.2,5.1,2.3,3.2,5.9,CS AS FIELD OF WK & STDY,BD,EN,TTT
20107,CSCI,1300,10,MAIN,MICHAEL,57,43,100%,5.1,1,5.5,0.9,7-9,4.8,5.3,5.3,4.7,4.9,6,COMP SCI I: PROGRAMMING,BD,EN,TTT
20107,CSCI,1300,11,DUPLYAKIN,DMITRY,18,7,100%,4.4,1.5,4.7,1.3,7-9,4.7,4.4,4.7,4.7,5,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,12,DUPLYAKIN,DMITRY,23,16,100%,4.9,0.9,5.4,0.6,4-6,5,4.7,5.3,4.8,4.9,5.9,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,13,DUPLYAKIN,DMITRY,16,6,100%,5.5,0.5,5.7,0.5,7-9,4.5,5.2,5.5,4.2,4.8,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,100,MAIN,MICHAEL,134,92,99%,4.7,1.1,5.5,0.8,7-9,4.5,4.9,5.3,4.7,4.6,5.9,COMP SCI I: PROGRAMMING,BD,EN,TTT
20107,CSCI,1300,101,BLACKSHEAR,SAMUEL,10,2,100%,5,1.4,4,0,10-12,4.5,4,4,5,5,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,102,BLACKSHEAR,SAMUEL,19,6,100%,5.5,0.8,5.8,0.4,4-6,4,5.2,5.8,5.2,5.2,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,103,BLACKSHEAR,SAMUEL,21,9,100%,5.2,0.7,5.3,0.7,7-9,4.9,5,5.1,4,4.8,5.7,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,104,AHN,JUNHO,19,5,100%,5.2,0.8,4,1.2,7-9,4.6,3.8,4.8,4.2,5.4,6,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,105,AHN,JUNHO,20,3,100%,4.3,1.5,4,1.7,7-9,3.3,3.3,4.3,5,5,5.7,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,106,THOMPSON,ALLISON,24,9,89%,4.8,0.9,5,0.9,4-6,4.8,4.6,5.3,4.3,4.2,5.7,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,107,THOMPSON,ALLISON,16,14,100%,4.9,1,5.4,0.7,7-9,4.4,4.7,5.2,4.8,4.4,5.8,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,1300,108,THOMPSON,ALLISON,5,2,100%,4.5,0.7,5.5,0.7,10-12,4,4.5,4.5,5,5,5.5,COMP SCI I: PROGRAMMING,BD,EN,TA
20107,CSCI,2270,10,BLACK,JOHN,108,57,100%,5.2,0.9,5.6,0.7,7-9,4.9,5.4,5.4,5.1,5.4,6,COMP SCI II: DATA STRUCT,BD,EN,TTT
20107,CSCI,2270,11,BEACH,AARON,18,9,100%,4.8,0.7,5.4,0.7,7-9,4.3,5.1,4.9,4.8,4.6,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20107,CSCI,2270,12,BEACH,AARON,20,12,100%,5.3,0.8,5.5,0.7,10-12,4.9,5.4,5.3,5.4,5.8,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20107,CSCI,2270,13,BEACH,AARON,18,14,100%,5,0.7,5.4,0.6,7-9,4.7,5.1,5,4.4,4.9,5.9,COMP SCI II: DATA STRUCT,BD,EN,TA
20107,CSCI,2270,14,MAHDIAN,ALIREZA,20,3,100%,3.7,0.6,3.7,0.6,10-12,4.3,3,3.7,4,3.7,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20107,CSCI,2270,15,MAHDIAN,ALIREZA,19,6,83%,5,0.7,3.8,1.9,10-12,4.8,4.2,4,5.5,5,5.8,COMP SCI II: DATA STRUCT,BD,EN,TA
20107,CSCI,2270,16,MAHDIAN,ALIREZA,13,7,100%,5.1,1.2,4.4,1.3,7-9,4.4,4.6,5.3,5.3,4.7,6,COMP SCI II: DATA STRUCT,BD,EN,TA
20107,CSCI,2400,10,GRUNWALD,DIRK,118,71,100%,4.6,1.3,4.8,1.4,10-12,4.5,4.7,4.5,5.6,5.2,5.8,COMPUTER SYSTEMS,BD,EN,TTT
20107,CSCI,2400,11,MERRITT,SEARS,20,5,100%,4.8,1.6,5,0.7,7-9,5,4.2,5,6,5.8,5.8,COMPUTER SYSTEMS,BD,EN,TA
20107,CSCI,2400,12,DIETRICH,CHARLES,20,17,100%,3.4,1.3,2.4,1.1,7-9,4.8,2.5,3.4,5.1,3.8,5.8,COMPUTER SYSTEMS,BD,EN,TA
20107,CSCI,2400,13,DIETRICH,CHARLES,19,6,100%,3.8,1.9,3.3,2.1,4-6,4.8,3.3,5,5.5,4.7,5.8,COMPUTER SYSTEMS,BD,EN,TA
20107,CSCI,2400,14,DIETRICH,CHARLES,18,8,100%,3.6,1.8,3.5,1.8,10-12,3.4,3.3,4,4.9,4.3,5.5,COMPUTER SYSTEMS,BD,EN,TA
20107,CSCI,2400,15,MERRITT,SEARS,20,11,100%,4.2,1.7,5.1,1.1,10-12,4,4.4,5.2,5.9,5,5.7,COMPUTER SYSTEMS,BD,EN,TA
20107,CSCI,2400,16,MERRITT,SEARS,20,10,100%,4.7,1.1,5,1.2,10-12,4.5,4.7,4.9,5.5,5,5.8,COMPUTER SYSTEMS,BD,EN,TA
20107,CSCI,2400,17,MERRITT,SEARS,1,0,,,,,,,,,,,,,COMPUTER SYSTEMS,BD,EN,TA
20107,CSCI,2824,1,EHRENFEUCHT,ANDRZEJ,68,57,98%,4.5,1.3,5.2,1.1,4-6,3.3,4.4,5.5,4.1,4.2,6,DISCRETE STRUCTURES,BD,EN,TTT
20107,CSCI,2830,1,TUFO,HENRY,29,22,100%,3.8,1.1,4.2,1.2,7-9,3.1,3.9,4.1,4.8,4.5,5.7,SPECIAL TOPICS,BD,EN,TTT
20107,CSCI,3002,1,FISCHER,GERHARD,32,25,100%,3.4,1.4,3.9,1.4,4-6,3.8,3.3,4.6,2.8,3.2,5.9,HUMAN-CENTERED COMPUTING,BD,EN,TTT
20107,CSCI,3104,10,BLACK,JOHN,45,35,100%,5.3,0.8,5.6,0.7,7-9,4.7,5.3,5.1,5,5.2,5.9,ALGORITHMS,BD,EN,TTT
20107,CSCI,3104,11,GONZALES,HAROLD,20,10,100%,4.5,0.8,4.8,0.9,7-9,4.5,4.8,5,4.6,4.4,6,ALGORITHMS,BD,EN,TA
20107,CSCI,3104,12,GONZALES,HAROLD,25,6,100%,4.5,1,4.2,1.3,7-9,4.7,3.8,4.8,5,5.3,5.8,ALGORITHMS,BD,EN,TA
20107,CSCI,3202,1,EISENBERG,MICHAEL,48,33,100%,5.1,1,5.4,1,7-9,4.9,5.2,4.9,4.8,5,5.9,INTRO ARTIFICIAL INTELL,BD,EN,TTT
20107,CSCI,3287,1,KING,ROGER,25,10,100%,3.1,1.6,3.3,1.6,4-6,4,2.8,4,3.2,3.4,6,DATABASES INFO SYSTEMS,BD,EN,TTT
20107,CSCI,3308,10,BUTLER,WILLIAM,46,33,100%,4.2,1.2,4.4,1.1,7-9,4.9,4.3,4.8,4,4.4,5.9,SOFTWARE ENG METHODS AND,BD,EN,OTH
20107,CSCI,3308,11,SCHRAM,AARON,8,6,100%,4.2,1,5.2,0.8,7-9,4.2,5,5.7,4.5,4.3,5.5,SOFTWARE ENG METHODS AND,BD,EN,TA
20107,CSCI,3308,12,SCHRAM,AARON,12,10,100%,4.8,0.9,5.7,0.5,7-9,4.6,5.5,5.8,4.4,4.6,5.9,SOFTWARE ENG METHODS AND,BD,EN,TA
20107,CSCI,3308,13,SCHRAM,AARON,19,14,100%,4.5,1.6,5.4,1.4,10-12,4.8,5.1,5.4,4.4,4.4,5.9,SOFTWARE ENG METHODS AND,BD,EN,TA
20107,CSCI,3308,14,BUTLER,WILLIAM,7,5,100%,4.6,0.9,5.4,0.9,4-6,3.6,5,5,4.4,5,5.8,SOFTWARE ENG METHODS AND,BD,EN,OTH
20107,CSCI,3702,5,PALMER,MARTHA,29,29,93%,3.3,1.5,3.4,1.6,4-6,3.9,3.3,4.5,4.6,3.4,5.8,COGNITIVE SCIENCE,BD,EN,TTT
20107,CSCI,3702,6,KIM,ALBERT,26,26,100%,4.5,1.2,5.1,1.1,4-6,4.3,4.8,5.2,4.8,4.6,5.8,COGNITIVE SCIENCE,BD,EN,TTT
20107,CSCI,4202,1,MOZER,MICHAEL,25,14,100%,4.4,0.9,4.6,1,7-9,4.9,4.8,5.4,5.5,4.6,6,ARTIFICIAL INTELLIGENCE,BD,EN,TTT
20107,CSCI,4229,1,SCHREUDER,WILLEM,69,42,100%,5.2,0.7,5.6,0.6,7-9,4.6,5.5,5.1,4.7,5.3,5.9,COMPUTER GRAPHICS,BD,EN,OTH
20107,CSCI,4273,1,HAN,RICHARD,57,19,100%,5.3,0.7,5.5,0.6,10-12,4.8,5.1,5.4,4.9,5.4,5.9,NETWORK SYSTEMS,BD,EN,TTT
20107,CSCI,4308,10,SANDERS,BRUCE,42,39,100%,4.6,1.4,5.1,1,16+,4.7,4.8,5.7,5.2,4.9,5.9,SOFTWARE ENGINEERING PRO,BD,EN,OTH
20107,CSCI,4308,11,KESSEL,ANDREW,42,28,100%,4.6,1.5,5.2,0.9,16+,4.8,4.8,5.4,5.1,5,5.8,SOFTWARE ENGINEERING PRO,BD,EN,TA
20107,CSCI,4314,1,GOLDBERG,DEBRA,14,12,100%,3.1,1.7,3,1.7,4-6,3.3,3.2,4.3,4,3.2,5.7,ALGORITHMS: MOLECULARBIO,BD,EN,TTT
20107,CSCI,4809,1,KING,ROGER,23,12,100%,3.9,1.6,4.5,1.4,4-6,5.1,4.3,5.2,3.9,3.8,6,COMPUTER ANIMATION,BD,EN,TTT
20107,CSCI,4830,6,CORRELL,NIKOLAUS,27,24,100%,4,1.2,4,1.4,7-9,4.8,4.1,4.3,4.8,4.2,5.7,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20107,CSCI,4830,802,CORRELL,NIKOLAUS,7,5,100%,5.2,0.4,5.6,0.5,7-9,5.4,5.4,6,5,5,6,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20107,CSCI,4830,803,MOZER,MICHAEL,7,7,100%,5.6,0.5,5.6,0.5,7-9,4.9,5.4,5.9,5.7,5.7,5.9,SPEC TPCS IN COMPUTER SC,BD,EN,TTT
20107,CSCI,4839,1,PALEN,LEYSIA,34,26,100%,4,1.2,4.4,1.3,7-9,3.8,4.2,5,3.3,4,5.8,USER-CENTERED DESIGN,BD,EN,TTT
20107,CSCI,5417,1,MARTIN,JAMES,33,25,100%,5.6,0.6,5.8,0.5,7-9,4.5,5.5,5.4,5,5.4,6,INFORMATION RETRIEVAL SY,BD,EN,TTT
20107,CSCI,5444,1,EHRENFEUCHT,ANDRZEJ,22,14,100%,4.6,1.3,5,1,4-6,4.4,4.8,5.1,4.1,4.3,5.9,INTRO TO THEORY OF COMP,BD,EN,TTT
20107,CSCI,5573,1,MISHRA,SHIVAKANT,13,9,100%,4.9,1.2,5.1,0.9,7-9,5.2,5.1,5.2,4.8,5,5.9,ADVANCED OPERATING SYSTE,BD,EN,TTT
20107,CSCI,5606,1,CAI,XIAO,8,6,100%,5.2,0.4,5.7,0.5,10-12,4.8,5.5,5.3,5.5,5.2,5.8,PRIN OF NUM COMPUTATION,BD,EN,TTT
20107,CSCI,5646,1,JESSUP,ELIZABETH,6,5,100%,5,1.2,5.4,0.9,7-9,4.8,5.6,5.6,5,4.4,6,NUMERICAL LINEAR ALGEBRA,BD,EN,TTT
20107,CSCI,5722,1,MULLIGAN,JANE,23,19,100%,4.6,0.9,4,1.1,10-12,4.4,4.1,5.1,5.1,4.5,5.8,COMPUTER VISION,BD,EN,OTH
