yearterm,subject,crse,sec,onlineFCQ,bd_continuing_education,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructoroverall,instructoroverall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,courseOverall_old,courseOverall_SD_old,instrOverall_old,instrOverall_SD_old,r_Fair,r_Access,workload,r_Divstu,r_Diviss,r_Presnt,r_Explan,r_Assign,r_Motiv,r_Learn,r_Complx,campus,college,aSdiv,level,fcqdept,instructor_group,i_Num
20137,MATH,1012,008,,,BAOUCHI,WAHAB,45,39,1,3.205078125,1.3212890625,3.58935546875,1.845458984375,4-6,2.3076171875,3.05126953125,4.41015625,3.56396484375,3.60498046875,4.69140625,QUANTREASON/MATHSKILLS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1012,010,,,NEWBERRY,PATRICK,32,24,1,4.541015625,1.215087890625,5.3330078125,1.27392578125,4-6,2.0830078125,4.7080078125,5.5,3.8330078125,4.125,6,QUANTREASON/MATHSKILLS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1012,011,,,NEWBERRY,PATRICK,37,32,1,4.53125,1.106689453125,5.1875,0.895751953125,4-6,2.125,4.5625,5.4375,4.15625,4.21875,5.9345703125,QUANTREASON/MATHSKILLS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1012,012,OL,,DOUTHITT,CAMERON,35,17,1,2,1.060546875,1.941162109375,1.390380859375,4-6,2.23486328125,1.7646484375,2.23486328125,3.1171875,2.17626953125,3.8232421875,QUANTREASON/MATHSKILLS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1012,013,OL,,DOUTHITT,CAMERON,34,15,1,3.599609375,1.8046875,3.8662109375,1.922119140625,4-6,2.3330078125,3.13330078125,3.93310546875,3.39990234375,3.46630859375,5.2666015625,QUANTREASON/MATHSKILLS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1021,001,OL,,SHAULIS,DELPHY,35,17,1,4.8232421875,1.236572265625,5.05859375,1.434814453125,7-9,3.88232421875,4.8818359375,5.2939453125,4.8232421875,4.8125,5.9404296875,NUMERICAL/ANALCOLLTRIG,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,010,OL,,VERNEREY,DIVYA,120,51,1,4.548828125,1.34619140625,4.9794921875,1.376708984375,4-6,3.47021484375,4.705078125,4.6396484375,3.7841796875,4.1396484375,5.4599609375,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,011,OL,,JACK,TREVOR,30,14,1,4.142578125,1.6103515625,4.7138671875,1.54052734375,4-6,3.15380859375,4,4.5,4.0712890625,4.142578125,5.78515625,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,012,OL,,JACK,TREVOR,30,9,1,5.4443359375,0.5269775390625,5.2216796875,0.6666259765625,4-6,3.22216796875,4.5546875,5,3.66650390625,4.5546875,5.666015625,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,013,OL,,LIU,XIAORONG,30,16,1,3.25,1.238037109375,2.9375,1.33984375,4-6,3.3125,2.5625,3.375,3.5625,3.0625,5.1875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,014,OL,,JACK,TREVOR,30,11,1,4.181640625,1.327880859375,4.6357421875,1.36181640625,4-6,3.36328125,4.36328125,4.6357421875,3.72705078125,4.0908203125,5.36328125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,020,OL,,VERNEREY,DIVYA,118,53,1,4.5087890625,0.953125,5.2255859375,0.9930419921875,7-9,3.15087890625,4.7353515625,4.43359375,3.69775390625,4.1318359375,5.8037109375,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,021,OL,,KLOTZ,TAYLOR,30,14,1,2.92822265625,1.384765625,1.928466796875,1.14111328125,4-6,3.42822265625,2.15380859375,2.7138671875,3.7138671875,3.2138671875,4.5712890625,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,022,OL,,KLOTZ,TAYLOR,31,12,1,4,1.348388671875,3.41650390625,1.564208984375,4-6,2.8330078125,3,3.5,3.3330078125,3.66650390625,4.75,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,023,OL,,KLOTZ,TAYLOR,26,11,1,3.36328125,1.433349609375,2.63623046875,1.36181640625,4-6,2.81787109375,2.63623046875,3.0908203125,3.4541015625,3.0908203125,5.0908203125,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,024,OL,,KLOTZ,TAYLOR,31,15,1,3.599609375,1.12109375,2.8662109375,1.597412109375,4-6,3.06640625,2.93310546875,3.13330078125,3.66650390625,3.39990234375,4.9326171875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
20137,MATH,1071,030,OL,,VERNEREY,DIVYA,118,52,1,4.326171875,1.132568359375,5.17578125,0.9100341796875,4-6,3.21142578125,4.5,4.1337890625,3.63427734375,3.76904296875,5.73046875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20137,MATH,1071,031,OL,,LIU,XIAORONG,30,16,1,3.25,1.77001953125,2.625,1.746337890625,0-3,3.25,2.4375,2.5625,3.25,2.9375,5.1875,FINITEMATHSOCISCI/BUS,,,,,,,,,,,,,,,,BD,AS,NS,LD,MATH,TA,1
