yearterm,subject,crse,sec,onlineFCQ,bd_continuing_education,instructor_last,instructor_first,forms_requested,forms_returned,percentage_passed,course_overall,course_overall_SD,instructor_overall,instructor_overall_SD,total_hours,prior_interest,effectiveness,availability,challenge,amount_learned,respect,course_title,courseOverall_old,courseOverall_SD_old,instrOverall_old,instrOverall_SD_old,r_Fair,r_Access,workload,r_Divstu,r_Diviss,r_Presnt,r_Explan,r_Assign,r_Motiv,r_Learn,r_Complx,campus,college,aSdiv,level,fcqdept,instructor_group,i_Num
20137,MILR,1011,010,,,HODGE,JIM,16,10,0.89990234375,4.888671875,0.600830078125,5.77734375,0.44091796875,7-9,5.4443359375,5.666015625,5.888671875,3.4443359375,5.2216796875,6,ADVENTURESINLEADERSHIP,,,,,,,,,,,,,,,,BD,XX,,LD,MILR,OTH,1
20137,MILR,1011,020,,,HODGE,JIM,14,14,1,5.642578125,0.63330078125,5.7138671875,0.6112060546875,7-9,5.5712890625,5.5712890625,5.642578125,3.78564453125,5.5712890625,5.927734375,ADVENTURESINLEADERSHIP,,,,,,,,,,,,,,,,BD,XX,,LD,MILR,OTH,1
20137,MILR,2031,010,,,SCHOENBERG,JANET,30,29,1,4.96484375,1.01708984375,4.689453125,1.25634765625,7-9,5.482421875,5,5.4482421875,3.10302734375,4.8271484375,5.5859375,METHSLEADERSHIP/MGMT1,,,,,,,,,,,,,,,,BD,XX,,LD,MILR,OTH,1
20137,MILR,3052,010,,,PEREZ,PAUL,24,24,1,5.166015625,0.8680419921875,5.5,0.7222900390625,7-9,5.4580078125,5.375,5.2607421875,3.54150390625,5.041015625,5.4580078125,MILITARYOPERATIONS/TRAI,,,,,,,,,,,,,,,,BD,XX,,UD,MILR,OTH,1
20137,MILR,4072,020,,,ROZELLE,DAVID,20,18,1,5.3330078125,0.907470703125,5.2216796875,1.003173828125,10-12,5.3330078125,5.27734375,5.0546875,4.2216796875,5.3330078125,5.77734375,OFFICERLEADERSHIP&DEV,,,,,,,,,,,,,,,,BD,XX,,UD,MILR,OTH,1
20131,MILR,1021,010,,,KESSELRING,EMIL,39,38,1,5.2890625,0.7318115234375,5.5,0.647216796875,4-6,5.39453125,5.3154296875,5.341796875,3.52587890625,5,5.630859375,ADVENTURESINLEADERSHIP,,,,,,,,,,,,,,,,BD,XX,,LD,MILR,OTH,1
20131,MILR,2041,010,,,WEIMER,BRIAN,26,24,1,5.5,0.7222900390625,5.9580078125,0.2041015625,4-6,5.4580078125,5.75,5.9580078125,3.5830078125,5.0830078125,5.9580078125,METHSLEADERSHIP/MGMT2,,,,,,,,,,,,,,,,BD,XX,,LD,MILR,OTH,1
20131,MILR,3062,010,,,PEREZ,PAUL,21,20,1,5.19921875,0.7677001953125,5.525390625,0.6116943359375,13-15,5.44921875,5.599609375,5.599609375,4.0498046875,5.0498046875,5.75,MILITARYTRNG/OPERATNS2,,,,,,,,,,,,,,,,BD,XX,,UD,MILR,OTH,1
20131,MILR,4082,010,,,ROZELLE,DAVID,20,19,1,5.3681640625,0.7608642578125,5.68359375,0.4775390625,10-12,5.630859375,5.68359375,5.4736328125,4.578125,5.3154296875,5.736328125,OFFICERLDRSHIP/DEVELOP,,,,,,,,,,,,,,,,BD,XX,,UD,MILR,OTH,1
